Nodo,Distancia_Promedio,Caminos_Validos
BIANCHINI2025124303,0.0,1
BIBRI2025106826,0.0,1
BIDDLE2025569,0.0,1
BIE2025101002,0.0,1
BIGA20241489,0.0,1
BILGIHAN2024103929,0.0,1
BILLINGE20243714,1.6145,213
BINNASHWAN2025675,0.0,1
BINUSMAN2025111766,0.0,1
BIRCH2024111687,0.0,1
BIRKHOLZ2025102520,0.0,1
BIRKUN2025110680,0.0,1
BIRO2025,0.0,1
BISWAS2025450,0.0,1
BLAIQUE202441,0.0,1
BLAIR2024102890,1.5061,227
BLANCHARD20242166,0.85,11
BLAND2025,0.0,1
BLEASE2024,0.25,2
BLEASE2024115724,0.6517,6
BLEASE2025,0.0,1
BLONDEEL2025100754,0.0,1
BOARETO2025129,0.0,1
BODA2025101577,1.0478,9
BOFFA202541,0.0,1
BOFFITO2025110275,0.0,1
BOIE2025,0.0,1
BOJCIC2025,0.0,1
BOLATOV2024482,0.0,1
BOLLMANN2025107095,0.0,1
BONIFAZI2024106473,0.0,1
BONILLAALDANA2024101512,0.0,1
BONNET2025,0.68,5
BOONE2025104135,0.0,1
BORASCHI2025e233,0.0,1
BORGONOVO2025100230,0.0,1
BORJA2024109006,1.9242,233
BORROMEO2025e1002,0.0,1
BORUM20251,0.235,2
BORUTA20234021,0.0,1
BOSCO2025,0.0,1
BOSSO2024102402,0.0,1
BOUCHER2024104041,0.0,1
BOUEBDALLAH2025100984,0.0,1
BOUKHENNOUFA2025107493,0.0,1
BOULET2025103830,0.0,1
BOULTON2024,0.0,1
BOUNAB2025107142,0.0,1
BOUSQUET2025,0.0,1
BOUTER2025896,0.0,1
BOUVAREL2025203024,0.0,1
BOYD202460,0.0,1
BOZTAS2025,0.0,1
BRABCOVA2025110471,0.0,1
BRACALE2024S36,0.0,1
BRAGA2025128034,0.0,1
BRAGAZZI2024,0.0,1
BRAGAZZI2025,0.0,1
BRAHMACHARY2025129272,0.0,1
BREHME202410,0.0,1
BREITLING2025100186,0.0,1
BREWER2024525,0.9788,8
BRIAZU2024107600,0.0,1
BRICE2024101159,0.0,1
BRILL2025,0.0,1
BRIONESALVARADO2024110,0.155,2
BRIONESALVARADO202446,0.1733,3
BRIONESALVARADO2024721,0.2175,4
BRIONESALVARADO2025100428,0.0,1
BRITOZERON20252097,0.648,5
